Level,Subject,Year,Placed_File,Original_Source_Path
IGCSE,Statistics,2026,Mathematics_0580_2025-2027.pdf,/mnt/data/cambridge_full_sources/IGCSE/Mathematics_0580_2025-2027.pdf
A_Level,Accounts,2021,Accounting_9706_2019-2021.pdf,/mnt/data/cambridge_full_sources/A_Level/Accounting_9706_2019-2021.pdf
A_Level,Accounts,2022,Accounting_9706_2019-2021.pdf,/mnt/data/cambridge_full_sources/A_Level/Accounting_9706_2019-2021.pdf
A_Level,Accounts,2022,9706_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Accounting/9706_2023-2025_syllabus.pdf
A_Level,Accounts,2023,9706_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Accounting/9706_2023-2025_syllabus.pdf
A_Level,Accounts,2024,9706_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Accounting/9706_2023-2025_syllabus.pdf
A_Level,Accounts,2025,9706_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Accounting/9706_2023-2025_syllabus.pdf
A_Level,Accounts,2026,Accounting_9706_2026-2028.pdf,/mnt/data/cambridge_full_sources/A_Level/Accounting_9706_2026-2028.pdf
A_Level,Biology,2021,Biology_9700_2019-2021.pdf,/mnt/data/cambridge_full_sources/A_Level/Biology_9700_2019-2021.pdf
A_Level,Biology,2022,Biology_9700_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Biology_9700_2022-2024.pdf
A_Level,Biology,2023,Biology_9700_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Biology_9700_2022-2024.pdf
A_Level,Biology,2024,Biology_9700_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Biology_9700_2022-2024.pdf
A_Level,Biology,2025,9700_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Biology/9700_2025-2027_syllabus.pdf
A_Level,Biology,2026,9700_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Biology/9700_2025-2027_syllabus.pdf
A_Level,Bus_St,2021,Business_9609_2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Business_9609_2022.pdf
A_Level,Bus_St,2022,Business_9609_2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Business_9609_2022.pdf
A_Level,Bus_St,2023,9609_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Business/9609_2023-2025_syllabus.pdf
A_Level,Bus_St,2024,9609_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Business/9609_2023-2025_syllabus.pdf
A_Level,Bus_St,2025,9609_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Business/9609_2023-2025_syllabus.pdf
A_Level,Bus_St,2026,Business_9609_2026-2028.pdf,/mnt/data/cambridge_full_sources/A_Level/Business_9609_2026-2028.pdf
A_Level,Chemistry,2021,Chemistry_9701_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Chemistry_9701_2022-2024.pdf
A_Level,Chemistry,2022,Chemistry_9701_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Chemistry_9701_2022-2024.pdf
A_Level,Chemistry,2023,Chemistry_9701_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Chemistry_9701_2022-2024.pdf
A_Level,Chemistry,2024,Chemistry_9701_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Chemistry_9701_2022-2024.pdf
A_Level,Chemistry,2025,9701_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Chemistry/9701_2025-2027_syllabus.pdf
A_Level,Chemistry,2026,9701_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Chemistry/9701_2025-2027_syllabus.pdf
A_Level,Comp_Sci,2021,Computer_Science_9618_2021-2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Computer_Science_9618_2021-2023.pdf
A_Level,Comp_Sci,2022,Computer_Science_9618_2021-2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Computer_Science_9618_2021-2023.pdf
A_Level,Comp_Sci,2023,Computer_Science_9618_2021-2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Computer_Science_9618_2021-2023.pdf
A_Level,Comp_Sci,2024,Computer_Science_9618_2024-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Computer_Science_9618_2024-2025.pdf
A_Level,Comp_Sci,2025,Computer_Science_9618_2024-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Computer_Science_9618_2024-2025.pdf
A_Level,Comp_Sci,2026,9618_2026_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Computer Science/9618_2026_syllabus.pdf
A_Level,D_and_T,2021,Design_and_Technology_9705_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Design_and_Technology_9705_2020-2022.pdf
A_Level,D_and_T,2022,Design_and_Technology_9705_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Design_and_Technology_9705_2020-2022.pdf
A_Level,D_and_T,2023,Design_and_Technology_9705_2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Design_and_Technology_9705_2023.pdf
A_Level,D_and_T,2024,Design_and_Technology_9705_2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Design_and_Technology_9705_2023.pdf
A_Level,D_and_T,2024,9705_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Design and Technology/9705_2025-2027_syllabus.pdf
A_Level,D_and_T,2025,9705_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Design and Technology/9705_2025-2027_syllabus.pdf
